epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,261.906,1.70736,2.92364,1.65033,0.2027,0.09597,0.04344,0.01326,2.66775,3.39982,2.32806,0.00199681,0.000665603,0.00199681,0.000665603,0.00199681,0.000665603,0.00199681,0.000665603
2,496.316,1.11556,1.57049,1.21006,0.13938,0.04963,0.01984,0.00637,2.76575,3.44994,2.37957,0.00379897,0.00126632,0.00379897,0.00126632,0.00379897,0.00126632,0.00379897,0.00126632
3,716.449,1.03784,1.24559,1.17449,0.15024,0.04603,0.02085,0.00657,2.90987,3.55098,2.37709,0.00540313,0.00180104,0.00540313,0.00180104,0.00540313,0.00180104,0.00540313,0.00180104
